ID,Entry Name,Gene,Pfam
A0A087X1C5,CP2D7_HUMAN,CYP2D7,PF00067;
A0A0B4J2F0,PIOS1_HUMAN,PIGBOS1,null
A0A0C5B5G6,MOTSC_HUMAN,MT-RNR1,PF21945;
A0A0K2S4Q6,CD3CH_HUMAN,CD300H,PF07686;
A0A0U1RRE5,NBDY_HUMAN,NBDY,PF21949;
A0A1B0GTW7,CIROP_HUMAN,CIROP,PF01457;
A0AV02,S12A8_HUMAN,SLC12A8,PF00324;
A0AV96,RBM47_HUMAN,RBM47,PF00076;
A0AVF1,IFT56_HUMAN,IFT56,PF12895;
A0AVI4,TM129_HUMAN,TMEM129,PF10272;
A0AVK6,E2F8_HUMAN,E2F8,PF02319;
A0AVT1,UBA6_HUMAN,UBA6,PF16191;PF16190;PF09358;PF00899;PF10585;
A0FGR8,ESYT2_HUMAN,ESYT2,PF00168;PF17047;
A0FGR9,ESYT3_HUMAN,ESYT3,PF00168;PF17047;
A0JLT2,MED19_HUMAN,MED19,PF10278;
A0JNW5,BLT3B_HUMAN,BLTP3B,PF12624;
A0JP26,POTB3_HUMAN,POTEB3,PF12796;PF14915;
A0M8Q6,IGLC7_HUMAN,IGLC7,PF07654;
A0MZ66,SHOT1_HUMAN,SHTN1,null
A0PJK1,SC5AA_HUMAN,SLC5A10,PF00474;
A0PJY2,FEZF1_HUMAN,FEZF1,PF00096;PF13912;
A0PK00,T120B_HUMAN,TMEM120B,PF07851;
A0PK11,CLRN2_HUMAN,CLRN2,null
A1A4S6,RHG10_HUMAN,ARHGAP10,PF16746;PF00169;PF00620;PF14604;
A1A4Y4,IRGM_HUMAN,IRGM,PF05049;
A1A519,F170A_HUMAN,FAM170A,PF17734;
A1A5B4,ANO9_HUMAN,ANO9,PF16178;PF04547;
A1A5C7,S22AN_HUMAN,SLC22A23,PF00083;
A1E959,ODAM_HUMAN,ODAM,PF15424;
A1KXE4,F168B_HUMAN,FAM168B,PF14944;
A1KZ92,PXDNL_HUMAN,PXDNL,PF03098;PF07679;PF13927;PF13855;PF00093;
A1L0T0,HACL2_HUMAN,ILVBL,PF02775;PF00205;PF02776;
A1L167,U2QL1_HUMAN,UBE2QL1,PF00179;
A1L190,SYCE3_HUMAN,SYCE3,PF15191;
A1L390,PKHG3_HUMAN,PLEKHG3,PF00621;PF22697;
A1L3X0,ELOV7_HUMAN,ELOVL7,PF01151;
A1L4H1,SRCRL_HUMAN,SSC5D,PF00530;
A1L4K1,FSD2_HUMAN,FSD2,PF00041;PF00622;
A1X283,SPD2B_HUMAN,SH3PXD2B,PF00787;PF00018;PF07653;
A1XBS5,CBAR1_HUMAN,CIBAR1,PF06730;
